test;studietid;gruppe
19,9420069300060;35,7569083421226;0
19,8977273598490;39,1473229574486;0
17,5903629701702;36,1939675638308;0
15,9683672560408;34,7906064197446;0
17,7661206641727;36,3267204776549;0
17,2467278117274;36,7490460070788;0
19,3240679396931;39,2695740788712;0
18,7867364226021;36,6269628414725;0
17,5019707728254;37,0483985665081;0
21,3827084960999;36,4074164775722;0
18,2368135053782;36,0991989891601;0
19,5854131039592;36,4583287660265;0
15,9756349875700;37,4451675267562;0
20,3843483938259;38,9902940103827;0
17,2869412707164;37,7328709265165;0
20,0785094521630;37,9494900780640;0
17,9889621336075;35,0224118941304;0
18,3513030469083;37,6806746840641;0
19,9710652384091;36,7639097643928;0
16,5281719794484;34,7392999650893;0
17,8658764805002;37,1252272911778;0
16,9534606199399;36,3094944743408;0
18,3269380590778;38,2575047743638;0
18,9245727442849;35,5807016004744;0
18,5123155270971;35,9837458952857;0
18,9005253627860;35,3886686031471;0
17,6755952262737;36,2874752462762;0
18,9428514178214;36,9824141353836;0
18,1039490055120;35,6219021922565;0
17,0367150899300;37,4964478015780;0
19,6592654731879;35,0503006564346;0
17,7825465454358;35,2424187046307;0
20,0334134230960;38,2293892482131;0
18,7866555331080;35,2809830416344;0
18,4365059856598;36,9943696547810;0
17,6543758656143;36,0427087386693;0
21,4465361564652;32,7482554271092;1
19,6034282156597;33,7203719890665;1
22,6142276960230;32,4972456651079;1
21,2468099537366;35,4143369625654;1
22,9326790258192;33,8954093261784;1
22,0723742022699;32,5154379390584;1
21,1420163117602;34,0849148629142;1
21,8736599208993;34,3859896461551;1
19,8660106355507;34,1909376219842;1
20,9543747713331;33,1335339354124;1
22,9094036510979;35,3141374021410;1
21,1028001261235;33,9678118836937;1
19,8322913606897;32,7545113033498;1
18,6342418447530;30,8423601353870;1
21,3818516437389;34,8499171017717;1
22,0060335874030;33,4460796691817;1
20,1595159257791;33,4805716842813;1
21,1710895928182;34,6326034528224;1
19,6897647124738;34,4854654341177;1
21,6995161959483;34,2126815854610;1
22,8708682471019;34,6027728459299;1
23,0157309917220;34,4385635608773;1
21,7723822670959;33,5894779800382;1
17,3126424342388;31,1127779649640;1
21,7003308536853;34,2437908974737;1
21,2636854802440;33,4326455125652;1
20,2324423529809;33,3130453919536;1
20,0721359347980;31,7350971393209;1
19,4262668219825;32,9262199338697;1
21,8158418649386;34,0015298722396;1
21,1726865133337;35,1304154618349;1
18,8054287414215;33,3766547271884;1
20,5416620595310;33,9652059338712;1
22,3550388905341;33,4354339513005;1
19,5226266282254;31,8475285318057;1
21,3803033126711;33,0020065240404;1
21,6493287960111;33,0268520555476;1
20,7196904071649;33,4288239239466;1
20,9872284565305;34,8200304463807;1
20,5722708381143;34,4158108981491;1
21,5387929129376;33,3025716844957;1
19,3218340933387;33,1959659838362;1
21,4636310374865;34,3363560504857;1
20,7365986793270;34,1679958384084;1
17,6188793554848;32,6734931665406;1
18,6348823585349;32,6510058116455;1
22,0679723718332;33,9374983545642;1
20,9815850140670;34,4222395094185;1
21,6465321320702;33,3651845454197;1
23,5436339918429;34,5573292717451;1
22,7575209455512;33,9777270564405;1
21,1955063548251;32,7655683280991;1
21,4106270387347;33,9093436297093;1
19,8410240306027;32,1447642847031;1
23,5032843749059;35,2196284420412;1
22,6537208702857;35,8764798782070;1
19,1213747850745;33,0593342282402;1
19,9367481823417;32,2470384484202;1
18,7891399921416;34,1836635529309;1
20,4346566223387;33,3379344753430;1
19,0801774523677;36,3819413126057;1
22,3032585989978;33,4529119967202;1
20,4011920162319;34,3276872349409;1
20,2508266888354;33,5336025905368;1
20,1008540759082;32,6080721493411;1
21,5979371884956;33,7265507594172;1
20,4810330353326;31,3340496453308;1
22,3108752839037;35,2586658338755;1
20,1549008782158;33,6839040058543;1
20,4176174946833;36,1071340044346;1
20,5688390241343;34,0706114346796;1
20,6575291003876;32,6480642828938;1
20,1287384662070;34,2328716241869;1
20,1069322996393;32,3790828420269;1
18,5966251685008;31,9956399197131;1
20,9148969242517;33,8497354826210;1
20,6386513579858;32,9680497521379;1
20,5756124568258;33,5013264219579;1
20,5979116464077;33,5892095889820;1
22,5125498356291;32,7925748645743;1
21,3239025752109;32,8175975206178;1
22,0026101278025;33,3377856618514;1
20,3490038545481;34,9137043958878;1
20,0330701258557;31,6717198394843;1
22,4921579370938;34,2127354251541;1
20,8819445132963;33,8995404454562;1
18,8326271244842;34,7757198047316;1
20,9813045603388;33,1349792916388;1
18,6860647512471;33,9440225718995;1
19,9368550906951;33,8205185489267;1
22,0132931669645;32,8489759628100;1
22,2134849027531;34,9494413671798;1
22,7562443160594;34,8924831388339;1
21,5380540235254;34,3402563794180;1
21,5699095577451;35,4042001454490;1
19,9759165275864;34,1701837106784;1
21,8955411793882;31,9680893498504;1
20,4600534692041;32,8120815029157;1
19,1570783502595;32,0304648621220;1
21,5042273377970;32,9319192362728;1
